"","baker_name","baker_age","baker_occupation","hometown","series","episode","signature_bake","show_stopper","technical","result","baker"
"107","Victoria Chester",50,"CEO of the charity Plantlife","Somerset",3,1,"Pear and Pecan","Blackbird Pie Cake",4,"STAR BAKER","Victoria"
"108",NA,NA,NA,NA,3,1,"Pear, Chocolate and Hazelnut","Hidden Crown Cake",1,"IN","Sarah-Jane"
"109","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield",3,2,"Middle Eastern Taboon BreadIndian Rotis","Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels",4,"IN","Brendan"
"110","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex",3,2,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels",8,"IN","Cathryn"
"111","Danny Bryden",45,"Intensive care consultant","Sheffield",3,2,"Lime Coriander and Coconut TortillasZaatar Naan with Dukkah",NA,3,"IN","Danny"
"112","James Morton",21,"Medical student","Hillswick, Shetland Islands",3,2,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels",2,"IN","James"
"113","John Whaite",22,"Law student","Wigan",3,2,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels",1,"STAR BAKER","John"
"114","Manisha Parmar",27,"Nursery nurse","Leicester",3,2,"Indian FlatbreadsItalian Flatbreads",NA,6,"IN","Manisha"
"115","Peter Maloney",43,"Sales manager","Windsor, Berkshire",3,2,"Fennel and Nigella Seed NaanBannock Bread","Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels",11,"OUT","Peter"
"116","Ryan Chong",38,"Photographer","Bristol",3,2,"Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan","Cinnamon and Date Bagels
Tarragon and Rosemary Bagels",5,"IN","Ryan"
"117","Stuart Marston-Smith",26,"PE teacher","Lichfield, Staffordshire",3,2,"Bombay BreadChorizo and Spring Onion Naan","Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels",9,"IN","Stuart"
"118","Victoria Chester",50,"CEO of the charity Plantlife","Somerset",3,2,"Coriander and Lemon NaanGarlic and Parsnip Chapatis","Saffron and Golden Raisin Bagels
Porcini Bagels",7,"IN","Victoria"
